FirstName,LastName,Email,Designation,City,Country,ProfileLink,Source,PhoneNumber,OrganisationName,Industry,Purpose,WebsiteLink,LinkedInProfile
Damian,Burke,,Online Development Manager and Digital Transformation Specialist,Galway,Ireland,,Clutch.co,,Corrib Oil ULC,Retail,,,
Kai,Afflerbach,,Managing Director,Hamburg,Germany,,Clutch.co,,Nyzzu Media GmbH,Social Networking,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Adam,Zec,,CEO,Maplewood,New Jersey,,Clutch.co,,MyStandard,Consumer products & services,,,
Alexandru,Airinei,,CEO,Iasi,Romania,,Clutch.co,,Generate QR Code,Software,,,
Anonymous,,,CEO,Columbia,South Carolina,,Clutch.co,,Commercial Insurance Provider,Financial services,,,
Alina,Tarcea,,Product Owner,Sibiu,Romania,,Clutch.co,,Novum Bank,Financial services,,,
Janice,Davis,,COO & CTO,Salt Lake City,Utah,,Clutch.co,,Equality AI,Software,,,
Radu,Gatej,,CTO,Copenhagen,Denmark,,Clutch.co,,BrainCapture,Software,,,
Marius,Ionescu,,Tech Lead,,South Africa,,Clutch.co,,Tech-Health Company,Healthcare,,,
Anonymous,,,Owner,San Francisco,California,,Clutch.co,,Construction Firm,Construction,,,
Arthur,Wandzel,,CTO & Head of AI,,Singapore,,Clutch.co,,JAMM Technology,Software,,,
Jackie,Martinez,,Head of Product,San Francisco,California,,Clutch.co,,Primary Diagnostics,Healthcare,,,
Anonymous,,,Product Manager,London,England,,Clutch.co,,IT Solutions Company,IT Services,,,
Joanna,Cooper,,Owner,Albuquerque,New Mexico,,Clutch.co,,ShirtPoP,Other Industry,,,
Rana,Alsubaiyel,,Digital Partnerships Director,Jeddah,Saudi Arabia,,Clutch.co,,Sports & Entertainment Firm,Hospitality & leisure,,,
Catalin,Mester,,CEO,,Romania,,Clutch.co,,Voxa Software,Software,,,
Andy,Marsh,,Founder,California,United States,,Clutch.co,,Martian Labs,Advertising & marketing,,,
,,,,,,,,,,,,,
Mihai,Pop,,Head of Operations,Cluj-Napoca,Romania,,Clutch.co,,Transilvania IT Cluster,Nonprofit,,,
Heidi,Sanda Reka Johansen,,Founder,,Denmark,,Clutch.co,,Beauty IT Platform,IT Services,,,
